YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level,Higher Ed Ranking Level
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,85.8,85.8,80.6,90.9,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD08,AGEADJRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,58.0,58.0,55.0,61.0,Sex,Male,1,CVD,CVD07,AGEADJRATE,SEX,SEXM,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,247.5,247.5,243.5,251.6,Overall,Overall,1,CVD,CVD09,AGEADJRATE,OVERALL,OVR,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,52.0,52.0,49.9,54.1,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD07,AGEADJRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,87.0,87.0,84.2,89.7,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD08,AGEADJRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,26.2,26.2,16.6,39.3,Race/Ethnicity,Hispanic,1,CVD,CVD07,AGEADJRATE,RACE,HIS,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,62.6,62.6,43.6,87.0,Race/Ethnicity,"Asian, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,ASN,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,119.8,119.8,115.5,124.1,Sex,Male,1,CVD,CVD08,AGEADJRATE,SEX,SEXM,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,37.2,37.2,22.4,58.1,Race/Ethnicity,"Asian, non-Hispanic",1,CVD,CVD07,AGEADJRATE,RACE,ASN,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,82.5,82.5,56.0,117.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,AIAN,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,313.2,313.2,306.2,320.2,Sex,Male,1,CVD,CVD09,AGEADJRATE,SEX,SEXM,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,193.7,193.7,189.0,198.3,Sex,Female,1,CVD,CVD09,AGEADJRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,64.6,64.6,49.8,82.3,Race/Ethnicity,Hispanic,1,CVD,CVD09,AGEADJRATE,RACE,HIS,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,51.4,51.4,49.0,53.8,Sex,Female,1,CVD,CVD07,AGEADJRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,276.9,276.9,267.6,286.3,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,54.9,54.9,53.0,56.8,Overall,Overall,1,CVD,CVD07,AGEADJRATE,OVERALL,OVR,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,84.6,84.6,82.3,87.0,Overall,Overall,1,CVD,CVD08,AGEADJRATE,OVERALL,OVR,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,70.1,70.1,65.4,74.9,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD07,AGEADJRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,247.3,247.3,242.7,252.0,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,56.7,56.7,54.2,59.2,Sex,Female,1,CVD,CVD08,AGEADJRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,22.3,22.3,14.6,32.7,Race/Ethnicity,Hispanic,1,CVD,CVD08,AGEADJRATE,RACE,HIS,44,46,17,Bottom 10,Bottom 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,29.5,29.5,28.0,31.1,Overall,Overall,9,CVD,CVD07,AGEADJRATE,OVERALL,OVR,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,167.8,167.8,162.7,172.9,Sex,Male,8,CVD,CVD09,AGEADJRATE,SEX,SEXM,17,17,27,Middle,Top 25
2021,AK,Alaska,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,42.8,42.8,35.5,50.1,Sex,Female,2,CVD,CVD08,AGEADJRATE,SEX,SEXF,48,50,34,Bottom 10,Bottom 25
2021,CA,California,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,42.4,42.4,33.3,53.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",6,CVD,CVD07,AGEADJRATE,RACE,AIAN,37,38,32,Middle,Bottom 25
2021,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,243.2,243.2,207.0,279.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",2,CVD,CVD09,AGEADJRATE,RACE,AIAN,48,50,34,Bottom 10,Bottom 25
2021,AZ,Arizona,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,35.6,35.6,33.8,37.4,Sex,Male,4,CVD,CVD07,AGEADJRATE,SEX,SEXM,49,50,31,Bottom 10,Bottom 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,36.1,36.1,34.0,38.2,Sex,Female,8,CVD,CVD07,AGEADJRATE,SEX,SEXF,17,17,27,Middle,Top 25
2021,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,144.3,144.3,115.4,173.3,Race/Ethnicity,"Multiracial, non-Hispanic",4,CVD,CVD09,AGEADJRATE,RACE,MRC,49,50,31,Bottom 10,Bottom 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,80.5,80.5,66.8,94.2,Race/Ethnicity,"Black, non-Hispanic",8,CVD,CVD08,AGEADJRATE,RACE,BLK,17,17,27,Middle,Top 25
2021,AR,Arkansas,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,66.2,66.2,58.1,74.4,Race/Ethnicity,"Black, non-Hispanic",5,CVD,CVD07,AGEADJRATE,RACE,BLK,42,39,51,Bottom 10,Bottom 25
