YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level,Higher Ed Ranking Level
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,5.6,5.6,4.7,6.4,Age,Age 0-44,1,CVD,CVD08,CRDRATE,AGE,AGE0_44,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,22.1,22.1,20.4,23.9,Age,Age 0-44,1,CVD,CVD09,CRDRATE,AGE,AGE0_44,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,85.8,85.8,80.6,90.9,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD08,AGEADJRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,58.0,58.0,55.0,61.0,Sex,Male,1,CVD,CVD07,AGEADJRATE,SEX,SEXM,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,273.2,273.2,264.4,282.1,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD09,CRDRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,247.5,247.5,243.5,251.6,Overall,Overall,1,CVD,CVD09,AGEADJRATE,OVERALL,OVR,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,52.0,52.0,49.9,54.1,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD07,AGEADJRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,87.0,87.0,84.2,89.7,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD08,AGEADJRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,26.2,26.2,16.6,39.3,Race/Ethnicity,Hispanic,1,CVD,CVD07,AGEADJRATE,RACE,HIS,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,62.6,62.6,43.6,87.0,Race/Ethnicity,"Asian, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,ASN,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,77.6,77.6,74.2,81.0,Sex,Female,1,CVD,CVD08,CRDRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,73.8,73.8,70.9,76.8,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD07,CRDRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
