YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2022,Higher Ed Quality 2022,School Safety Rank 2022,Ranking Level
2022,AL,Alabama,BRFSS,Asthma,Current asthma among adults,%,Age-adjusted Prevalence,7.4,7.4,5.9,9.3,Sex,Male,1,AST,AST02,AGEADJPREV,SEX,SEXM,44,46,17,Bottom 10
2022,AL,Alabama,BRFSS,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.0,15.0,12.8,17.5,Sex,Male,1,MEN,MEN05,CRDPREV,SEX,SEXM,44,46,17,Bottom 10
2022,AL,Alabama,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,%,Crude Prevalence,42.7,42.7,39.1,46.4,Age,Age 45-64,1,ORH,ORH01,CRDPREV,AGE,AGE4564,44,46,17,Bottom 10
2022,AL,Alabama,BRFSS,Oral Health,Visited dentist or dental clinic in the past year among adults,%,Crude Prevalence,59.7,59.7,56.8,62.5,Race/Ethnicity,"White, non-Hispanic",1,ORH,ORH06,CRDPREV,RACE,WHT,44,46,17,Bottom 10
2022,AL,Alabama,BRFSS,Tobacco,Current cigarette smoking among adults,%,Age-adjusted Prevalence,37.6,37.6,24.7,52.4,Race/Ethnicity,"Multiracial, non-Hispanic",1,TOB,TOB04,AGEADJPREV,RACE,MRC,44,46,17,Bottom 10
2022,AK,Alaska,BRFSS,Arthritis,Arthritis among adults,%,Crude Prevalence,22.0,22.0,20.2,23.9,Sex,Male,2,ART,ART01,CRDPREV,SEX,SEXM,48,50,34,Bottom 10
2022,AK,Alaska,BRFSS,Mental Health,Depression among adults,%,Crude Prevalence,20.5,20.5,12.1,32.6,Race/Ethnicity,"Black, non-Hispanic",2,MEN,MEN02,CRDPREV,RACE,BLK,48,50,34,Bottom 10
2022,AK,Alaska,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,%,Crude Prevalence,10.8,10.8,9.1,12.7,Age,Age 18-44,2,SDOH,SDH09,CRDPREV,AGE,AGE1844,48,50,34,Bottom 10
2022,AZ,Arizona,BRFSS,Asthma,Current asthma among adults,%,Crude Prevalence,8.2,8.2,6.5,10.2,Race/Ethnicity,Hispanic,4,AST,AST02,CRDPREV,RACE,HIS,49,50,31,Bottom 10
2022,AZ,Arizona,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude Prevalence,24.0,24.0,21.9,26.2,Age,Age >=65,4,HEA,HEA01,CRDPREV,AGE,AGE65P,49,50,31,Bottom 10
2022,AZ,Arizona,BRFSS,Mental Health,Depression among adults,%,Age-adjusted Prevalence,15.9,15.9,14.3,17.7,Sex,Male,4,MEN,MEN02,AGEADJPREV,SEX,SEXM,49,50,31,Bottom 10
2022,LA,Louisiana,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,89.8,89.8,78.1,95.6,Race/Ethnicity,"Black, non-Hispanic",22,CAN,CAN09,CRDPREV,RACE,BLK,50,49,47,Bottom 10
2022,LA,Louisiana,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude Prevalence,24.9,24.9,22.0,28.0,Race/Ethnicity,"Black, non-Hispanic",22,HEA,HEA01,CRDPREV,RACE,BLK,50,49,47,Bottom 10
2022,LA,Louisiana,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,%,Age-adjusted Prevalence,34.2,34.2,28.3,40.7,Race/Ethnicity,"White, non-Hispanic",22,IMM,IMM02,AGEADJPREV,RACE,WHT,50,49,47,Bottom 10
2022,LA,Louisiana,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,%,Crude Prevalence,38.6,38.6,34.2,43.2,Sex,Male,22,ORH,ORH02,CRDPREV,SEX,SEXM,50,49,47,Bottom 10
2022,MS,Mississippi,BRFSS,Arthritis,Arthritis among adults,%,Crude Prevalence,29.3,29.3,26.7,31.9,Sex,Male,28,ART,ART01,CRDPREV,SEX,SEXM,46,43,43,Bottom 10
2022,MS,Mississippi,BRFSS,Asthma,Current asthma among adults,%,Age-adjusted Prevalence,7.1,7.1,5.5,8.9,Sex,Male,28,AST,AST02,AGEADJPREV,SEX,SEXM,46,43,43,Bottom 10
2022,MS,Mississippi,BRFSS,Health Status,Average recent physically unhealthy days among adults,Number,Crude Mean,4.4,4.4,4.0,4.7,Overall,Overall,28,HEA,HEA02,CRDMEAN,OVERALL,OVR,46,43,43,Bottom 10
2022,MS,Mississippi,BRFSS,Health Status,Frequent physical distress among adults,%,Crude Prevalence,14.5,14.5,12.5,16.8,Sex,Male,28,HEA,HEA03,CRDPREV,SEX,SEXM,46,43,43,Bottom 10
2022,NV,Nevada,BRFSS,Cancer,Colorectal cancer screening among adults aged 45-75 years,%,Crude Prevalence,65.7,65.7,61.9,69.3,Race/Ethnicity,"White, non-Hispanic",32,CAN,CAN06,CRDPREV,RACE,WHT,45,44,40,Bottom 10
