YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2020,2020,US,United States,BRFSS,Health Status,Recent activity limitation among adults,,Number,Age-adjusted Mean,2.9,2.9,,,2.8,2.9,Sex,Female,,,,,,59,HEA,HEA04,,AGEADJMEAN,SEX,SEXF,,,,
2015,2019,AR,Arkansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,9537,9537,,,,,Sex,Male,,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN07,,NMBR,SEX,SEXM,,,,
2015,2019,CA,California,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,486,486,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN03,,NMBR,OVERALL,OVR,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,2880,2880,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN07,,NMBR,RACE,HIS,,,,
2015,2019,GA,Georgia,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,519,519,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN05,,NMBR,RACE,WHT,,,,
2015,2019,KS,Kansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,8102,8102,,,,,Sex,Male,,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN07,,NMBR,SEX,SEXM,,,,
2015,2019,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,9238,9238,,,,,Overall,Overall,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN07,,NMBR,OVERALL,OVR,,,,
2015,2019,NJ,New Jersey,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,5587,5587,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN07,,NMBR,RACE,HIS,,,,
2015,2019,NY,New York,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,2547,2547,,,,,Sex,Female,,,,,POINT (-75.54397042699964 42.82700103200045),36,CAN,CAN02,,NMBR,SEX,SEXF,,,,
2015,2019,OR,Oregon,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,548,548,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),41,CAN,CAN02,,NMBR,OVERALL,OVR,,,,
2015,2019,SD,South Dakota,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,20.2,20.2,,,18.4,22.2,Overall,Overall,,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN05,,CRDRATE,OVERALL,OVR,,,,
2015,2019,TX,Texas,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,2.9,2.9,,,2.8,3,Sex,Female,,,,,POINT (-99.42677020599967 31.827240407000488),48,CAN,CAN03,,CRDRATE,SEX,SEXF,,,,
2015,2019,US,United States,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,314982,314982,,,,,Sex,Male,,,,,,59,CAN,CAN08,,NMBR,SEX,SEXM,,,,
2015,2019,VT,Vermont,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,23,23,,,20.7,25.5,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN05,,CRDRATE,OVERALL,OVR,,,,
2015,2019,WV,West Virginia,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,31.6,31.6,,,30,33.2,Sex,Female,,,,,POINT (-80.71264013499967 38.66551020200046),54,CAN,CAN02,,CRDRATE,SEX,SEXF,,,,
2015,2019,WI,Wisconsin,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,444.6,444.6,,,441.4,447.8,Sex,Female,,,,,POINT (-89.81637074199966 44.39319117400049),55,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2020,2020,ID,Idaho,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,Number,Number,25,25,,,,,Age,Age >=65,,,,,POINT (-114.3637300419997 43.682630005000476),16,DIA,DIA04,,NMBR,AGE,AGE65P,,,,
2015,2019,WY,Wyoming,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,66,66,,,,,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),56,CAN,CAN02,,NMBR,OVERALL,OVR,,,,
2016,2020,AZ,Arizona,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,1408,1408,,,,,Sex,Male,,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN04,,NMBR,SEX,SEXM,,,,
2016,2020,CA,California,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,4503,4503,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN02,,NMBR,OVERALL,OVR,,,,
