YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level,Higher Ed Ranking Level
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,5.6,5.6,4.7,6.4,Age,Age 0-44,1,CVD,CVD08,CRDRATE,AGE,AGE0_44,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,22.1,22.1,20.4,23.9,Age,Age 0-44,1,CVD,CVD09,CRDRATE,AGE,AGE0_44,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,273.2,273.2,264.4,282.1,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD09,CRDRATE,RACE,BLK,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,77.6,77.6,74.2,81.0,Sex,Female,1,CVD,CVD08,CRDRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,73.8,73.8,70.9,76.8,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD07,CRDRATE,RACE,WHT,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,261.8,261.8,255.6,268.1,Sex,Female,1,CVD,CVD09,CRDRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,12.0,12.0,8.1,17.3,Race/Ethnicity,Hispanic,1,CVD,CVD08,CRDRATE,RACE,HIS,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,70.2,70.2,67.0,73.4,Sex,Female,1,CVD,CVD07,CRDRATE,SEX,SEXF,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,257.2,257.2,248.5,266.0,Age,Age 45-64,1,CVD,CVD09,CRDRATE,AGE,AGE4564,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,3.1,3.1,2.5,3.8,Age,Age 0-44,1,CVD,CVD07,CRDRATE,AGE,AGE0_44,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,66.7,66.7,64.4,68.9,Overall,Overall,1,CVD,CVD07,CRDRATE,OVERALL,OVR,44,46,17,Bottom 10,Bottom 25
2021,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,117.2,117.2,80.7,164.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD09,CRDRATE,RACE,AIAN,44,46,17,Bottom 10,Bottom 25
