YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,159.7,159.7,144.6,174.8,Sex,Male,2,CVD,CVD09,AGEADJRATE,SEX,SEXM,48,50,34
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,47.2,47.2,34.5,60.3,Race/Ethnicity,"Multiracial, non-Hispanic",6,CVD,CVD02,AGEADJPREV,RACE,MRC,37,38,32
2019,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,71.43,71.43,44.97,97.89,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD06,CRDRATE,RACE,AIAN,44,46,17
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.6,31.6,30.0,33.2,Sex,Male,6,CVD,CVD04,CRDPREV,SEX,SEXM,37,38,32
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,26.1,26.1,20.8,32.3,Race/Ethnicity,"Black, non-Hispanic",4,CVD,CVD07,CRDRATE,RACE,BLK,49,50,31
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,20.2,20.2,14.1,27.9,Age,Age 45-64,2,CVD,CVD07,CRDRATE,AGE,AGE4564,48,50,34
2019,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,43.89,43.89,40.21,47.58,Race/Ethnicity,"Black, non-Hispanic",4,CVD,CVD06,AGEADJRATE,RACE,BLK,49,50,31
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,304.4,304.4,292.7,316.1,Age,Age >=65,1,CVD,CVD07,CRDRATE,AGE,AGE65P,44,46,17
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,41.0,41.0,37.9,44.2,Age,Age 45-64,4,CVD,CVD03,CRDPREV,AGE,AGE4564,49,50,31
2019,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,26.3,26.3,24.9,27.8,Sex,Female,6,CVD,CVD01,CRDPREV,SEX,SEXF,37,38,32
2019,AK,Alaska,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,59.4,59.4,46.4,71.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",2,CVD,CVD02,CRDPREV,RACE,AIAN,48,50,34
2019,AK,Alaska,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,27.3,27.3,23.9,30.9,Sex,Female,2,CVD,CVD04,CRDPREV,SEX,SEXF,48,50,34
