YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level,Higher Ed Ranking Level
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,30.4,30.4,23.2,39.1,Race/Ethnicity,"Asian, non-Hispanic",8,CVD,CVD07,CRDRATE,RACE,ASN,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,2.4,2.4,1.8,3.2,Age,Age 0-44,9,CVD,CVD08,CRDRATE,AGE,AGE0_44,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,29.5,29.5,28.0,31.1,Overall,Overall,9,CVD,CVD07,AGEADJRATE,OVERALL,OVR,2,2,19,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,55.3,55.3,35.0,83.0,Race/Ethnicity,"Asian, non-Hispanic",10,CVD,CVD09,CRDRATE,RACE,ASN,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,167.8,167.8,162.7,172.9,Sex,Male,8,CVD,CVD09,AGEADJRATE,SEX,SEXM,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,50.0,50.0,47.4,52.6,Sex,Female,8,CVD,CVD08,CRDRATE,SEX,SEXF,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,140.8,140.8,125.7,155.9,Race/Ethnicity,"Black, non-Hispanic",8,CVD,CVD09,CRDRATE,RACE,BLK,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,36.1,36.1,34.0,38.2,Sex,Female,8,CVD,CVD07,AGEADJRATE,SEX,SEXF,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,75.3,75.3,70.0,80.7,Overall,Overall,10,CVD,CVD07,CRDRATE,OVERALL,OVR,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,139.0,139.0,136.0,142.1,Overall,Overall,8,CVD,CVD09,CRDRATE,OVERALL,OVR,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,14.0,14.0,11.2,17.2,Race/Ethnicity,Hispanic,9,CVD,CVD07,CRDRATE,RACE,HIS,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,80.5,80.5,66.8,94.2,Race/Ethnicity,"Black, non-Hispanic",8,CVD,CVD08,AGEADJRATE,RACE,BLK,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,66.9,66.9,61.8,72.0,Age,Age 45-64,9,CVD,CVD08,CRDRATE,AGE,AGE4564,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,44.5,44.5,37.5,51.6,Race/Ethnicity,Hispanic,9,CVD,CVD08,AGEADJRATE,RACE,HIS,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,186.7,186.7,182.2,191.1,Overall,Overall,9,CVD,CVD09,CRDRATE,OVERALL,OVR,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,177.6,177.6,171.7,183.5,Sex,Male,9,CVD,CVD09,AGEADJRATE,SEX,SEXM,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,6.2,6.2,5.4,7.0,Age,Age 0-44,8,CVD,CVD09,CRDRATE,AGE,AGE0_44,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,61.8,61.8,51.8,71.8,Race/Ethnicity,"Black, non-Hispanic",8,CVD,CVD08,CRDRATE,RACE,BLK,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,29.2,29.2,23.0,36.5,Age,Age 45-64,10,CVD,CVD07,CRDRATE,AGE,AGE4564,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,32.6,32.6,28.2,37.0,Race/Ethnicity,Hispanic,8,CVD,CVD07,AGEADJRATE,RACE,HIS,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,162.7,162.7,155.7,169.7,Overall,Overall,10,CVD,CVD09,AGEADJRATE,OVERALL,OVR,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,54.0,54.0,35.3,79.1,Race/Ethnicity,"Multiracial, non-Hispanic",8,CVD,CVD09,AGEADJRATE,RACE,MRC,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,66.7,66.7,59.4,73.9,Sex,Male,10,CVD,CVD07,CRDRATE,SEX,SEXM,9,15,2,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,6.2,6.2,5.1,7.3,Age,Age 0-44,9,CVD,CVD09,CRDRATE,AGE,AGE0_44,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,37.3,37.3,33.9,40.6,Race/Ethnicity,Hispanic,8,CVD,CVD08,CRDRATE,RACE,HIS,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,28.9,28.9,27.2,30.6,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD07,AGEADJRATE,RACE,WHT,2,2,19,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,83.2,83.2,70.8,95.5,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD08,AGEADJRATE,RACE,BLK,9,15,2,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,68.4,68.4,56.9,80.0,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD07,AGEADJRATE,RACE,BLK,9,15,2,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,162.1,162.1,145.4,178.8,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD09,CRDRATE,RACE,BLK,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,203.1,203.1,193.7,212.6,Age,Age >=65,8,CVD,CVD07,CRDRATE,AGE,AGE65P,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,495.9,495.9,465.2,526.7,Age,Age >=65,10,CVD,CVD08,CRDRATE,AGE,AGE65P,9,15,2,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,135.1,135.1,132.1,138.1,Overall,Overall,8,CVD,CVD09,AGEADJRATE,OVERALL,OVR,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,19.7,19.7,13.7,27.4,Race/Ethnicity,"Asian, non-Hispanic",9,CVD,CVD07,CRDRATE,RACE,ASN,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,32.1,32.1,22.9,43.7,Race/Ethnicity,"Asian, non-Hispanic",9,CVD,CVD08,AGEADJRATE,RACE,ASN,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,40.0,40.0,38.0,42.1,Overall,Overall,9,CVD,CVD07,CRDRATE,OVERALL,OVR,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,56.2,56.2,45.7,66.6,Race/Ethnicity,"Asian, non-Hispanic",8,CVD,CVD09,CRDRATE,RACE,ASN,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,78.0,78.0,52.2,112.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",8,CVD,CVD08,CRDRATE,RACE,AIAN,17,17,27,Middle,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,80.9,80.9,53.3,117.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",8,CVD,CVD08,AGEADJRATE,RACE,AIAN,17,17,27,Middle,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,34.5,34.5,28.6,40.3,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD07,CRDRATE,RACE,BLK,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,60.4,60.4,47.4,75.8,Race/Ethnicity,"Asian, non-Hispanic",9,CVD,CVD09,AGEADJRATE,RACE,ASN,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,104.7,104.7,100.9,108.4,Sex,Female,9,CVD,CVD09,AGEADJRATE,SEX,SEXF,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,96.2,96.2,91.9,100.5,Sex,Male,9,CVD,CVD08,AGEADJRATE,SEX,SEXM,2,2,19,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,104.1,104.1,97.7,110.5,Age,Age 45-64,9,CVD,CVD09,CRDRATE,AGE,AGE4564,2,2,19,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,4.1,4.1,2.5,6.2,Age,Age 0-44,10,CVD,CVD08,CRDRATE,AGE,AGE0_44,9,15,2,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,12.5,12.5,10.3,14.8,Age,Age 45-64,9,CVD,CVD07,CRDRATE,AGE,AGE4564,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,107.2,107.2,103.6,110.7,Sex,Female,8,CVD,CVD09,AGEADJRATE,SEX,SEXF,17,17,27,Middle,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,91.2,91.2,86.0,96.4,Overall,Overall,10,CVD,CVD08,AGEADJRATE,OVERALL,OVR,9,15,2,Top 10,Top 25
2021,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,65.1,65.1,40.8,98.5,Race/Ethnicity,"Asian, non-Hispanic",10,CVD,CVD09,AGEADJRATE,RACE,ASN,9,15,2,Top 10,Top 25
2021,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,860.4,860.4,837.8,883.0,Age,Age >=65,9,CVD,CVD09,CRDRATE,AGE,AGE65P,2,2,19,Top 10,Top 25
2021,CO,Colorado,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,65.3,65.3,63.0,67.5,Race/Ethnicity,"White, non-Hispanic",8,CVD,CVD08,AGEADJRATE,RACE,WHT,17,17,27,Middle,Top 25
