YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,81.2,81.2,78.8,83.4,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD02,CRDPREV,RACE,WHT,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,150.0,150.0,133.0,167.1,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD09,AGEADJRATE,RACE,BLK,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,34.2,34.2,32.9,35.6,Overall,Overall,9,CVD,CVD04,CRDPREV,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,77.7,77.7,75.5,79.8,Overall,Overall,9,CVD,CVD02,CRDPREV,OVERALL,OVR,2,2,19,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,19.07,19.07,11.69,26.45,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",10,CVD,CVD06,AGEADJRATE,RACE,API,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,121.9,121.9,116.7,127.1,Sex,Male,9,CVD,CVD08,CRDRATE,SEX,SEXM,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,195.5,195.5,183.9,207.2,Sex,Male,10,CVD,CVD09,AGEADJRATE,SEX,SEXM,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,169.7,169.7,155.6,183.7,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD09,AGEADJRATE,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,34.6,34.6,19.8,53.2,Race/Ethnicity,"Multiracial, non-Hispanic",10,CVD,CVD04,CRDPREV,RACE,MRC,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,35.1,35.1,33.1,37.1,Sex,Male,9,CVD,CVD04,CRDPREV,SEX,SEXM,2,2,19,Top 10
